id,study_geo,run,library_layout,instrument_model,submission,study,sample,experiment,ftp,pmid,factor,time,stage,bibtexkey
GSM340794,GSE13511,SRR014288,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002274,SRX003137,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014288/SRR014288.fastq.gz,18981474,PPARG,0,0,nielsen_genome-wide_2008
GSM340794,GSE13511,SRR014289,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002274,SRX003137,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014289/SRR014289.fastq.gz,18981474,PPARG,0,0,nielsen_genome-wide_2008
GSM340794,GSE13511,SRR014290,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002274,SRX003137,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014290/SRR014290.fastq.gz,18981474,PPARG,0,0,nielsen_genome-wide_2008
GSM340803,GSE13511,SRR014291,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002275,SRX003138,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014291/SRR014291.fastq.gz,18981474,RXRG,72,1,nielsen_genome-wide_2008
GSM340803,GSE13511,SRR014292,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002275,SRX003138,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014292/SRR014292.fastq.gz,18981474,RXRG,72,1,nielsen_genome-wide_2008
GSM340804,GSE13511,SRR014294,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002276,SRX003139,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014294/SRR014294.fastq.gz,18981474,RXRG,96,2,nielsen_genome-wide_2008
GSM340804,GSE13511,SRR014295,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002276,SRX003139,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014295/SRR014295.fastq.gz,18981474,RXRG,96,2,nielsen_genome-wide_2008
GSM340805,GSE13511,SRR014296,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002277,SRX003140,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014296/SRR014296.fastq.gz,18981474,RXRG,144,3,nielsen_genome-wide_2008
GSM340805,GSE13511,SRR014297,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002277,SRX003140,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014297/SRR014297.fastq.gz,18981474,RXRG,144,3,nielsen_genome-wide_2008
GSM340806,GSE13511,SRR014298,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002278,SRX003141,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014298/SRR014298.fastq.gz,18981474,POLR2A,0,0,nielsen_genome-wide_2008
GSM340806,GSE13511,SRR014299,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002278,SRX003141,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014299/SRR014299.fastq.gz,18981474,POLR2A,0,0,nielsen_genome-wide_2008
GSM340807,GSE13511,SRR014300,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002279,SRX003142,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014300/SRR014300.fastq.gz,18981474,POLR2A,24,1,nielsen_genome-wide_2008
GSM340807,GSE13511,SRR014301,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002279,SRX003142,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014301/SRR014301.fastq.gz,18981474,POLR2A,24,1,nielsen_genome-wide_2008
GSM340808,GSE13511,SRR014302,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002280,SRX003143,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014302/SRR014302.fastq.gz,18981474,POLR2A,48,1,nielsen_genome-wide_2008
GSM340808,GSE13511,SRR014303,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002280,SRX003143,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014303/SRR014303.fastq.gz,18981474,POLR2A,48,1,nielsen_genome-wide_2008
GSM340809,GSE13511,SRR014304,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002281,SRX003144,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014304/SRR014304.fastq.gz,18981474,POLR2A,72,1,nielsen_genome-wide_2008
GSM340809,GSE13511,SRR014305,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002281,SRX003144,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014305/SRR014305.fastq.gz,18981474,POLR2A,72,1,nielsen_genome-wide_2008
GSM340810,GSE13511,SRR014306,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002282,SRX003145,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014306/SRR014306.fastq.gz,18981474,POLR2A,96,2,nielsen_genome-wide_2008
GSM340810,GSE13511,SRR014307,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002282,SRX003145,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014307/SRR014307.fastq.gz,18981474,POLR2A,96,2,nielsen_genome-wide_2008
GSM340811,GSE13511,SRR014308,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002283,SRX003146,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014308/SRR014308.fastq.gz,18981474,POLR2A,144,3,nielsen_genome-wide_2008
GSM340811,GSE13511,SRR014309,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002283,SRX003146,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014309/SRR014309.fastq.gz,18981474,POLR2A,144,3,nielsen_genome-wide_2008
GSM340795,GSE13511,SRR014310,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002284,SRX003147,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014310/SRR014310.fastq.gz,18981474,PPARG,24,1,nielsen_genome-wide_2008
GSM340795,GSE13511,SRR014311,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002284,SRX003147,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014311/SRR014311.fastq.gz,18981474,PPARG,24,1,nielsen_genome-wide_2008
GSM340795,GSE13511,SRR014312,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002284,SRX003147,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014312/SRR014312.fastq.gz,18981474,PPARG,24,1,nielsen_genome-wide_2008
GSM340796,GSE13511,SRR014313,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002285,SRX003148,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014313/SRR014313.fastq.gz,18981474,PPARG,48,1,nielsen_genome-wide_2008
GSM340796,GSE13511,SRR014315,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002285,SRX003148,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014315/SRR014315.fastq.gz,18981474,PPARG,48,1,nielsen_genome-wide_2008
GSM340796,GSE13511,SRR014316,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002285,SRX003148,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014316/SRR014316.fastq.gz,18981474,PPARG,48,1,nielsen_genome-wide_2008
GSM340797,GSE13511,SRR014318,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002286,SRX003149,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014318/SRR014318.fastq.gz,18981474,PPARG,72,1,nielsen_genome-wide_2008
GSM340797,GSE13511,SRR014319,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002286,SRX003149,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014319/SRR014319.fastq.gz,18981474,PPARG,72,1,nielsen_genome-wide_2008
GSM340798,GSE13511,SRR014321,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002287,SRX003150,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014321/SRR014321.fastq.gz,18981474,PPARG,96,2,nielsen_genome-wide_2008
GSM340798,GSE13511,SRR014322,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002287,SRX003150,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014322/SRR014322.fastq.gz,18981474,PPARG,96,2,nielsen_genome-wide_2008
GSM340799,GSE13511,SRR014324,SINGLE - ,Illumina Genome Analyzer,SRA008245,SRP000630,SRS002288,SRX003151,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014324/SRR014324.fastq.gz,18981474,PPARG,144,3,nielsen_genome-wide_2008
